f_Hz_Median,ICI,num_Clicks,var_RI
 5336.00,  0.0033569, 22,  0.0000299
 5936.00,  0.0325928, 10,  0.0001300
 6616.00,  0.2856445, 16,  0.0000146
 5120.00,  0.4157104, 10,  0.0000136
 6608.00,  0.1115112, 19,  0.0000163
 4424.00,  0.0986328, 14,  0.0000163
 6280.00,  0.0323486, 36,  0.0000163
 8552.00,  0.0039063, 79,  0.0000174
 5248.00,  0.0220642, 19,  0.0000174
 5120.00,  0.0379639, 84,  0.0000174
 4128.00,  0.0320129, 103,  0.0000132
 7416.00,  0.1149597, 19,  0.0000132
 5880.00,  0.1486511, 19,  0.0000123
 5920.00,  0.0788574, 80,  0.0000123
 6080.00,  0.1088867, 52,  0.0000125
 5960.00,  0.1782227, 32,  0.0000125
 5248.00,  0.1033936, 84,  0.0000222
 5944.00,  0.1006470, 54,  0.0000257
 5808.00,  0.2014465, 13,  0.0000160
 6624.00,  0.0106812, 9,  0.0000146
 8152.00,  0.2646484, 23,  0.0000167
 6608.00,  0.2506104, 28,  0.0000172
 6376.00,  0.1824341, 10,  0.0000114
 6248.00,  0.1482849, 9,  0.0000114
 6520.00,  0.1408997, 15,  0.0000114
 6456.00,  0.1597595, 43,  0.0000155
 6272.00,  0.1918335, 9,  0.0000157
 6240.00,  0.0870667, 9,  0.0000115
 6624.00,  0.1594238, 18,  0.0000115
 6624.00,  0.2394714, 13,  0.0000115
 6616.00,  0.1952515, 8,  0.0000158
 6024.00,  0.1624756, 9,  0.0000158
 6256.00,  0.1212769, 98,  0.0000159
 6392.00,  0.0587158, 196,  0.0000121
 6608.00,  0.1566162, 57,  0.0000121
 6624.00,  0.2212830, 27,  0.0000120
 6608.00,  0.4171143, 10,  0.0000120
 6616.00,  0.1672974, 14,  0.0000163
 6320.00,  0.1619263, 8,  0.0000163
 6808.00,  0.1762085, 12,  0.0000163
 6592.00,  0.1270752, 89,  0.0000121
 6608.00,  0.1405029, 86,  0.0000166
 6624.00,  0.1700439, 16,  0.0000122
 6200.00,  0.3467407, 8,  0.0000165
 6608.00,  0.2653809, 14,  0.0000138
 6176.00,  0.1393433, 8,  0.0000138
 6616.00,  0.1164246, 13,  0.0000138
 6216.00,  0.3221436, 10,  0.0000179
 6240.00,  0.2915039, 20,  0.0000179
 6208.00,  0.2062378, 22,  0.0000179
 6632.00,  0.2984009, 38,  0.0000136
 6392.00,  0.2473145, 26,  0.0000136
 6608.00,  0.1564331, 18,  0.0000135
 6032.00,  0.3971558, 8,  0.0000135
 6392.00,  0.1727295, 12,  0.0000176
 6624.00,  0.2556152, 23,  0.0000173
 6632.00,  0.3861694, 22,  0.0000173
 6256.00,  0.2456055, 9,  0.0000129
 6616.00,  0.4505005, 14,  0.0000129
 6616.00,  0.5608521, 14,  0.0000129
 6136.00,  0.1735840, 21,  0.0000129
 6616.00,  0.3883667, 15,  0.0000172
 5984.00,  0.2677612, 13,  0.0000172
 6608.00,  0.2626648, 19,  0.0000129
 6616.00,  0.4350586, 14,  0.0000127
 5832.00,  0.2347412, 10,  0.0000169
 6616.00,  0.2620850, 24,  0.0000169
 6608.00,  0.3930664, 15,  0.0000168
 6608.00,  0.5316772, 12,  0.0000124
 6136.00,  0.4096680, 12,  0.0000124
 6624.00,  0.1780396, 16,  0.0000156
 6072.00,  0.0493469, 33,  0.0000156
 6624.00,  0.0942993, 58,  0.0000115
 6616.00,  0.0624695, 9,  0.0000115
